Category: All categories

Country,learn english: (8/5/19 - 8/5/24)
Eritrea,
Somalia,100
Myanmar (Burma),70
Kiribati,
Ethiopia,45
Tonga,
Afghanistan,43
Timor-Leste,
Marshall Islands,
Madagascar,
Burundi,
Djibouti,
South Sudan,
Sri Lanka,28
Philippines,27
Rwanda,
Bhutan,
Mongolia,
Nepal,22
Sudan,21
Cambodia,20
Maldives,
Pakistan,19
Western Sahara,
Morocco,19
Algeria,17
Uzbekistan,17
Bangladesh,16
Malta,
Albania,
American Samoa,
Lebanon,16
India,15
United Arab Emirates,15
Kosovo,
Mauritania,
Iraq,14
Oman,14
Samoa,
Solomon Islands,
Qatar,14
Bahrain,
Mauritius,
Chad,
Armenia,13
Comoros,
Malawi,
Azerbaijan,13
Georgia,13
Central African Republic,
Haiti,
Gambia,
Tanzania,13
Botswana,
Brunei,
Vietnam,12
Tunisia,12
Vanuatu,
Seychelles,
Lesotho,
Namibia,
Belize,
Uganda,12
Libya,
Laos,
Turkmenistan,
Turks & Caicos Islands,
St. Kitts & Nevis,
Sierra Leone,
China,11
Fiji,
Eswatini,
Zimbabwe,
Yemen,
Gibraltar,
North Macedonia,
Papua New Guinea,
Zambia,
Ghana,10
Northern Mariana Islands,
Liberia,
Nicaragua,
Tajikistan,
Sint Maarten,
Greenland,
Singapore,9
Kenya,9
Mozambique,
Kuwait,9
Malaysia,9
Nigeria,9
Faroe Islands,
South Africa,9
Cyprus,
Congo - Brazzaville,
Syria,9
Denmark,9
Cameroon,
Guyana,
Egypt,8
St. Helena,
Iceland,
Saudi Arabia,8
Equatorial Guinea,
Ireland,8
Togo,
Norway,8
Angola,
Benin,
Jordan,7
Cape Verde,
Andorra,
St. Lucia,
Hong Kong,7
Colombia,7
Palestine,
Canada,7
Macao,
Congo - Kinshasa,
Trinidad & Tobago,
Latvia,
Sweden,6
Grenada,
Isle of Man,
United Kingdom,6
Niger,
Montenegro,
Mayotte,
Lithuania,6
Jersey,
Moldova,
Spain,6
New Zealand,6
Cayman Islands,
Barbados,
Kyrgyzstan,
Australia,6
Jamaica,
Antigua & Barbuda,
Panama,
Romania,5
Israel,5
El Salvador,
Aruba,
Côte d’Ivoire,
Costa Rica,5
Curaçao,
French Guiana,
Estonia,
Mali,
Dominica,
Suriname,
Senegal,
U.S. Virgin Islands,
Guinea,
Guam,
Greece,5
Luxembourg,
United States,5
Ecuador,5
Guinea-Bissau,
Czechia,5
Gabon,
Burkina Faso,
Serbia,4
Kazakhstan,4
Bosnia & Herzegovina,
Hungary,4
Bulgaria,4
Iran,4
Slovakia,4
Bahamas,
St. Vincent & Grenadines,
New Caledonia,
Dominican Republic,4
Türkiye,4
Portugal,4
French Polynesia,
Guernsey,
Slovenia,
Guadeloupe,
Italy,3
Poland,3
Honduras,
Ukraine,3
Bermuda,
Cuba,
Uruguay,
Guatemala,
Puerto Rico,
Thailand,3
Indonesia,3
Martinique,
Croatia,
Mexico,3
Peru,3
Réunion,
Finland,3
South Korea,2
Switzerland,2
Bolivia,
France,2
Argentina,2
Austria,2
Belgium,2
Russia,2
Netherlands,2
Belarus,
Chile,2
Taiwan,2
Brazil,2
Venezuela,2
Paraguay,
Germany,1
Japan,<1
Liechtenstein,
Pitcairn Islands,
Christmas Island,
St. Martin,
Monaco,
Tokelau,
São Tomé & Príncipe,
Cook Islands,
British Indian Ocean Territory,
St. Pierre & Miquelon,
Montserrat,
San Marino,
Tuvalu,
St. Barthélemy,
French Southern Territories,
Antarctica,
Svalbard & Jan Mayen,
U.S. Outlying Islands,
South Georgia & South Sandwich Islands,
Niue,
Cocos (Keeling) Islands,
Vatican City,
Heard & McDonald Islands,
North Korea,
British Virgin Islands,
Nauru,
Palau,
Åland Islands,
Wallis & Futuna,
Anguilla,
Bouvet Island,
Micronesia,
Norfolk Island,
Falkland Islands (Islas Malvinas),
Caribbean Netherlands,
